ori,agency_name,state_name,data_year,offense,Population,cleared,actual,crime_rate
CO0210100,Colorado Springs,Colorado,2019,violent-crime,483829,1451,2886,596.4917357165444
CO0210100,Colorado Springs,Colorado,2020,violent-crime,483829,1561,2997,619.4337255517962
CO0210100,Colorado Springs,Colorado,2021,violent-crime,483829,735,2952,610.1329188618292
CO0210100,Colorado Springs,Colorado,2022,violent-crime,483829,1435,3135,647.956199401028
CT0013500,Stamford,Connecticut,2018,violent-crime,135470,142,230,169.7792869269949
CT0013500,Stamford,Connecticut,2019,violent-crime,135470,135,262,193.400752934229
CT0013500,Stamford,Connecticut,2020,violent-crime,135470,144,293,216.284048128737
CT0013500,Stamford,Connecticut,2021,violent-crime,135470,123,268,197.82977781058537
CT0013500,Stamford,Connecticut,2022,violent-crime,135470,134,264,194.87709455968113
DE0010100,Dover,Delaware,2018,violent-crime,38079,234,301,790.4619343995378
DE0010100,Dover,Delaware,2019,violent-crime,38079,216,332,871.87163528454
DE0010100,Dover,Delaware,2020,violent-crime,38079,198,326,856.1149189842171
DE0010100,Dover,Delaware,2021,violent-crime,38079,247,355,932.2723811024449
DE0010100,Dover,Delaware,2022,violent-crime,38079,221,315,827.2276057669582
FL0130600,Miami,Florida,2018,violent-crime,467963,1390,2978,636.3750980312547
FL0130600,Miami,Florida,2019,violent-crime,467963,1189,2850,609.02250818975
FL0130600,Miami,Florida,2020,violent-crime,467963,1291,2645,565.2156260217154
FL0130600,Miami,Florida,2022,violent-crime,467963,410,974,208.13611332519878
GA1060100,Columbus,Georgia,2018,violent-crime,206922,338,1043,504.05466794250975
GA1060100,Columbus,Georgia,2019,violent-crime,206922,232,618,298.66326441847656
GA1060100,Columbus,Georgia,2020,violent-crime,206922,39,264,127.58430713022298
GA1060100,Columbus,Georgia,2021,violent-crime,206922,51,356,172.0455050695431
GA1060100,Columbus,Georgia,2022,violent-crime,206922,361,1292,624.389866713061
ID0010300,Meridian,Idaho,2018,violent-crime,106894,89,170,159.03605440904073
ID0010300,Meridian,Idaho,2019,violent-crime,106894,111,185,173.06864744513257
ID0010300,Meridian,Idaho,2020,violent-crime,106894,91,205,191.778771493255
ID0010300,Meridian,Idaho,2021,violent-crime,106894,119,224,209.5533893389713
ID0010300,Meridian,Idaho,2022,violent-crime,106894,120,186,174.0041536475387
IL0450100,Aurora,Illinois,2018,violent-crime,198187,0,538,271.46079208020706
IL0450100,Aurora,Illinois,2019,violent-crime,198187,0,516,260.3601648947711
IL0450100,Aurora,Illinois,2020,violent-crime,198187,0,659,332.514241600105
IN0020100,Fort Wayne,Indiana,2018,violent-crime,267633,349,1024,382.6135043137431
IN0020100,Fort Wayne,Indiana,2019,violent-crime,267633,283,975,364.30485029872995
IN0020100,Fort Wayne,Indiana,2020,violent-crime,267633,400,1124,419.978104344382
IN0020100,Fort Wayne,Indiana,2021,violent-crime,267633,164,706,263.7940762163111
IN0020100,Fort Wayne,Indiana,2022,violent-crime,267633,187,702,262.2994922150856
IA0570100,Cedar Rapids,Iowa,2018,violent-crime,133174,130,354,265.81765209425265
IA0570100,Cedar Rapids,Iowa,2019,violent-crime,133174,164,391,293.6008530193581
IA0570100,Cedar Rapids,Iowa,2020,violent-crime,133174,188,435,326.64033520056466
IA0570100,Cedar Rapids,Iowa,2021,violent-crime,133174,229,471,353.67263880337003
IA0570100,Cedar Rapids,Iowa,2022,violent-crime,133174,213,433,325.13854055596437
KS0460600,Overland Park,Kansas,2018,violent-crime,197219,236,440,223.10223659992192
KS0460600,Overland Park,Kansas,2019,violent-crime,197219,162,367,186.08754734584397
KS0460600,Overland Park,Kansas,2020,violent-crime,197219,277,415,210.42597315674453
KS0460600,Overland Park,Kansas,2021,violent-crime,197219,309,479,242.87720757127863
KS0460600,Overland Park,Kansas,2022,violent-crime,197219,298,437,221.58108498674065
KY0340200,Lexington,Kentucky,2018,violent-crime,323780,406,1001,309.16054110815986
KY0340200,Lexington,Kentucky,2019,violent-crime,323780,458,986,304.52776576687876
KY0340200,Lexington,Kentucky,2020,violent-crime,323780,498,1063,328.3093458521218
